Cluster,Call_Index,Probability
1,45,0.0014114326040931546
1,48,0.0007057163020465773
1,54,0.0014114326040931546
1,75,0.0007057163020465773
1,87,0.0014114326040931546
2,1,0.2323980942297512
2,2,0.20187047820716428
2,3,0.13075701429327688
2,4,0.08999470619375331
2,5,0.06917240162343391
2,6,0.05434974413269807
2,7,0.03370389977060173
2,8,0.02752779248279513
2,9,0.02382212811011117
2,10,0.018704782071642844
2,11,0.01764602082230457
2,12,0.01605787894829716
2,13,0.008646550202929239
2,14,0.009705311452267513
2,15,0.0075877889535909656
2,16,0.010411152285159696
2,17,0.0049408858302452795
2,18,0.005293806246691371
2,19,0.0015881418740074113
2,20,0.0033527439562378684
2,21,0.0037056643726839597
2,22,0.0019410622904535027
2,23,0.0019410622904535027
2,24,0.002999823539791777
2,25,0.0015881418740074113
2,26,0.0019410622904535027
2,27,0.0017646020822304571
2,28,0.0007058408328921829
2,29,0.0012352214575613199
2,30,0.0007058408328921829
2,31,0.0003529204164460914
2,32,0.0008823010411152286
2,33,0.0008823010411152286
2,34,0.0007058408328921829
2,35,0.0008823010411152286
2,36,0.0003529204164460914
2,37,0.0003529204164460914
2,38,0.0005293806246691371
2,39,0.0008823010411152286
2,40,0.0008823010411152286
2,41,0.0001764602082230457
2,42,0.0003529204164460914
2,43,0.0003529204164460914
2,44,0.0005293806246691371
2,45,0.0003529204164460914
2,47,0.0003529204164460914
2,48,0.0001764602082230457
2,49,0.0003529204164460914
2,51,0.0003529204164460914
2,52,0.0007058408328921829
2,58,0.0001764602082230457
2,59,0.0005293806246691371
2,61,0.0005293806246691371
2,64,0.0001764602082230457
2,67,0.0003529204164460914
2,68,0.0001764602082230457
2,75,0.0003529204164460914
2,76,0.0003529204164460914
2,80,0.0003529204164460914
2,87,0.0001764602082230457
2,89,0.0003529204164460914
3,1,0.28278221208665905
3,2,0.2006841505131129
3,3,0.11630558722919042
3,4,0.07525655644241733
3,5,0.059293044469783354
3,6,0.05131128848346636
3,7,0.03876852907639681
3,8,0.029646522234891677
3,9,0.013683010262257697
3,10,0.026225769669327253
3,11,0.0068415051311288486
3,12,0.005701254275940707
3,13,0.009122006841505131
3,14,0.005701254275940707
3,15,0.002280501710376283
3,16,0.005701254275940707
3,17,0.0034207525655644243
3,18,0.0011402508551881414
3,19,0.004561003420752566
3,20,0.0011402508551881414
3,21,0.0034207525655644243
3,22,0.0068415051311288486
3,23,0.005701254275940707
3,24,0.0068415051311288486
3,25,0.004561003420752566
3,26,0.002280501710376283
3,27,0.002280501710376283
3,28,0.0034207525655644243
3,29,0.005701254275940707
3,30,0.004561003420752566
3,33,0.0011402508551881414
3,42,0.0011402508551881414
3,43,0.0011402508551881414
3,53,0.002280501710376283
3,57,0.002280501710376283
3,58,0.002280501710376283
